"Day","Hr","Temp","KWH"
2014-12-28,2,44.96,37
2014-12-28,3,44.96,36
2014-12-28,4,44.96,36
2014-12-28,5,44.96,35
2014-12-28,6,44.96,35
2014-12-28,7,46.04,75
2014-12-28,8,46.04,75
2014-12-28,9,46.94,75
2014-12-28,10,48.02,76
2014-12-28,11,48.92,76
2014-12-28,12,50,77
2014-12-28,13,51.08,77
2014-12-28,14,51.98,78
2014-12-28,15,48.92,74
2014-12-28,16,46.94,72
2014-12-28,17,46.94,71
2014-12-28,18,46.04,70
2014-12-28,19,44.96,28
2014-12-28,20,44.06,27
2014-12-28,21,42.08,24
2014-12-28,22,41,23
2014-12-28,23,39.92,21
2014-12-29,0,39.02,73
2014-12-29,1,37.94,71
2014-12-29,2,37.04,70
2014-12-29,3,35.96,68
2014-12-29,4,35.96,68
2014-12-29,5,35.96,67
2014-12-29,6,35.06,66
2014-12-29,7,35.06,105
2014-12-29,8,35.06,105
2014-12-29,9,39.02,108
2014-12-29,10,39.92,108
2014-12-29,11,41,109
2014-12-29,12,39.92,107
2014-12-29,13,41,108
2014-12-29,14,39.92,106
2014-12-29,15,39.92,106
2014-12-29,16,39.02,104
2014-12-29,17,37.94,103
2014-12-29,18,35.06,100
2014-12-29,19,33.08,57
2014-12-29,20,32,56
2014-12-29,21,30.92,54
2014-12-29,22,30.92,54
2014-12-29,23,30.02,52
2014-12-30,0,28.04,63
2014-12-30,1,26.96,61
2014-12-30,2,24.98,59
2014-12-30,3,24.08,58
2014-12-30,4,24.08,57
2014-12-30,5,23,55
2014-12-30,6,23,55
2014-12-30,7,23,94
2014-12-30,8,24.08,95
2014-12-30,9,24.98,95
2014-12-30,10,26.06,96
2014-12-30,11,26.96,96
2014-12-30,12,28.04,97
2014-12-30,13,28.94,97
2014-12-30,14,30.02,98
2014-12-30,15,28.94,96
2014-12-30,16,28.04,95
2014-12-30,17,26.96,93
2014-12-30,18,26.06,92
2014-12-30,19,24.98,50
2014-12-30,20,24.98,50
2014-12-30,21,24.08,49
2014-12-30,22,23,47
2014-12-30,23,21.92,45
2014-12-31,0,21.02,57
2014-12-31,1,19.94,56
2014-12-31,2,19.94,55
2014-12-31,3,19.94,55
2014-12-31,4,19.94,54
2014-12-31,5,19.94,54
2014-12-31,6,19.94,53
2014-12-31,7,21.02,94
2014-12-31,8,24.08,96
2014-12-31,9,26.06,98
2014-12-31,10,28.04,99
2014-12-31,11,28.94,100
2014-12-31,12,28.94,99
2014-12-31,13,28.94,99
2014-12-31,14,28.94,98
2014-12-31,15,28.04,97
2014-12-31,16,26.96,95
2014-12-31,17,26.06,94
2014-12-31,18,26.06,93
2014-12-31,19,24.98,52
2014-12-31,20,24.98,51
2014-12-31,21,23,49
2014-12-31,22,21.92,47
2014-12-31,23,21.92,47
